trade_date,close,open,北向资金,mid,upper,lower,ret,week,position,signal,capital_ret,策略净值,指数净值
2019-05-23,3583.9646,3629.5284,-4114.07,1132.5067599999998,6103.953811842992,-3838.940291842993,-0.01792496456109971,2019-05-20/2019-05-26,0.0,,-0.0,1.201720645836812,1.1346034453726255
2019-05-24,3593.9139,3584.9016,-1617.54,1115.3246,6091.404759289395,-3860.755559289395,0.0027760597858583758,2019-05-20/2019-05-26,0.0,,0.0,1.201720645836812,1.1377531723702208
2019-05-27,3637.1971,3592.6027,-1905.02,1088.7868799999999,6061.129211327714,-3883.5554513277148,0.012043471603479405,2019-05-27/2019-06-02,0.0,,0.0,1.201720645836812,1.1514556703934302
2019-05-28,3672.2605,3633.0182,5566.86,1108.5101200000001,6098.766666330602,-3881.746426330602,0.009640225436229555,2019-05-27/2019-06-02,0.0,,0.0,1.201720645836812,1.1625559626358477
2019-05-29,3663.909,3642.5415,-3251.41,1100.28848,6102.9163934301305,-3902.33943343013,-0.002274212300570677,2019-05-27/2019-06-02,0.0,,-0.0,1.201720645836812,1.1599120635655196
2019-05-30,3641.1833,3648.8495,-788.27,1085.7329600000003,6088.767325741858,-3917.3014057418577,-0.006202583088171676,2019-05-27/2019-06-02,0.0,,-0.0,1.201720645836812,1.1527176126162817
2019-05-31,3629.7893,3640.9963,-549.77,1075.18248,6079.700186247297,-3929.3352262472977,-0.003129202531495845,2019-05-27/2019-06-02,0.0,,-0.0,1.201720645836812,1.149110525744783
2019-06-03,3632.0127,3640.6126,4406.98,1083.6734,6096.8694143213925,-3929.522614321393,0.0006125424415130976,2019-06-03/2019-06-09,0.0,,0.0,1.201720645836812,1.149814404711791
2019-06-04,3598.4666,3632.5602,1064.25,1075.2331199999999,6084.47273768773,-3934.00649768773,-0.009236228716931527,2019-06-03/2019-06-09,0.0,,-0.0,1.201720645836812,1.1391944558878504
2019-06-05,3597.105,3627.7947,3057.82,1076.8724,6087.42542708046,-3933.68062708046,-0.0003783833925261604,2019-06-03/2019-06-09,0.0,,-0.0,1.201720645836812,1.1387634036248846
2019-06-06,3564.6778,3601.0356,1078.56,1057.81052,6047.747121985139,-3932.1260819851386,-0.009014804961211875,2019-06-03/2019-06-09,0.0,,-0.0,1.201720645836812,1.1284976736442405
2019-06-10,3610.7435,3578.0084,7897.27,1074.16624,6099.4219996544,-3951.0895196544,0.012922822926661137,2019-06-10/2019-06-16,0.0,1.0,0.0,1.201720645836812,1.143081049253894
2019-06-11,3719.2759,3617.5239,6945.96,1097.119,6153.1443043203935,-3958.906304320394,0.03005818607718891,2019-06-10/2019-06-16,1.0,,0.027846251409700467,1.2351840610650113,1.177439992133676
2019-06-12,3691.0957,3706.8635,1286.01,1092.75272,6147.340312809512,-3961.834872809512,-0.007576797408334279,2019-06-10/2019-06-16,1.0,,-0.007576797408334279,1.225825321672318,1.1685187678528084
2019-06-13,3685.3933,3689.5834,1171.04,1082.9231200000002,6131.744076974769,-3965.8978369747683,-0.0015449071125410718,2019-06-10/2019-06-16,1.0,,-0.0015449071125410718,1.2239315354141336,1.1667135148972148
2019-06-14,3654.8799,3690.4763,-1638.21,1076.37028,6130.755295738193,-3978.014735738193,-0.008279550516358758,2019-06-10/2019-06-16,1.0,,-0.008279550516358758,1.2137979324381076,1.1570536514125047
2019-06-17,3654.8248,3654.4433,507.31,1068.94684,6122.128712530881,-3984.235032530881,-1.5075734773106753e-05,2019-06-17/2019-06-23,1.0,,-1.5075734773106753e-05,1.21377963354241,1.1570362079785377
2019-06-18,3667.6185,3661.1299,1592.16,1066.5983999999999,6118.921462048531,-3985.724662048531,0.0035004961113320743,2019-06-17/2019-06-23,1.0,,0.0035004961113320743,1.2180284644296393,1.161086408725237
2019-06-19,3715.9381,3761.3381,4923.74,1077.5624400000002,6142.03433780977,-3986.9094578097697,0.013174652707199419,2019-06-17/2019-06-23,1.0,,0.013174652707199419,1.2340755664359833,1.1763833189232415
