trade_date,ts_code,trade_date,close,open,pct_chg,amount
2012-04-06,000300.SH,20120406,2519.83,2509.445,0.2785,47207795.088
2012-04-09,000300.SH,20120409,2495.146,2510.533,-0.9796,38180751.755
2012-04-10,000300.SH,20120410,2519.788,2490.283,0.9876,44064833.898
2012-04-11,000300.SH,20120411,2520.036,2494.517,0.0098,43627983.913
2012-04-12,000300.SH,20120412,2570.436,2522.828,2.0,59536950.778
2012-04-13,000300.SH,20120413,2580.454,2575.052,0.3897,61892977.442
2012-04-16,000300.SH,20120416,2574.044,2564.231,-0.2484,42650756.402
2012-04-17,000300.SH,20120417,2541.883,2572.364,-1.2494,38328417.08
2012-04-18,000300.SH,20120418,2599.908,2550.905,2.2828,59361005.883
2012-04-19,000300.SH,20120419,2596.056,2598.329,-0.1482,55512931.549
2012-04-20,000300.SH,20120420,2626.839,2591.51,1.1858,63829908.072
2012-04-23,000300.SH,20120423,2606.038,2624.751,-0.7919,62073949.557
2012-04-24,000300.SH,20120424,2604.866,2594.801,-0.045,73150514.001
2012-04-25,000300.SH,20120425,2625.99,2598.228,0.8109,63529458.933
2012-04-26,000300.SH,20120426,2631.487,2632.718,0.2093,64377486.667
2012-04-27,000300.SH,20120427,2626.157,2630.549,-0.2025,53345515.969
2012-05-02,000300.SH,20120502,2683.487,2660.673,2.183,92366091.966
2012-05-03,000300.SH,20120503,2691.518,2679.517,0.2993,72337336.415
2012-05-04,000300.SH,20120504,2715.879,2689.624,0.9051,73699551.125
2012-05-07,000300.SH,20120507,2717.778,2699.447,0.0699,82715668.565
2012-05-08,000300.SH,20120508,2709.116,2717.408,-0.3187,73744497.984
2012-05-09,000300.SH,20120509,2657.514,2685.187,-1.9048,69482578.578
2012-05-10,000300.SH,20120510,2657.214,2657.87,-0.0113,54056953.614
2012-05-11,000300.SH,20120511,2636.917,2652.313,-0.7638,49392898.299
2012-05-14,000300.SH,20120514,2615.534,2653.806,-0.8109,60331294.491
2012-05-15,000300.SH,20120515,2617.374,2597.644,0.0703,51374761.939
2012-05-16,000300.SH,20120516,2574.647,2610.161,-1.6324,47863536.278
2012-05-17,000300.SH,20120517,2613.942,2577.961,1.5262,49203910.04
2012-05-18,000300.SH,20120518,2573.976,2595.547,-1.529,46907511.775
2012-05-21,000300.SH,20120521,2587.231,2572.369,0.515,44300405.781
2012-05-22,000300.SH,20120522,2627.525,2598.167,1.5574,49392413.014
2012-05-23,000300.SH,20120523,2616.869,2621.786,-0.4056,52563403.31
2012-05-24,000300.SH,20120524,2595.26,2613.095,-0.8258,50064439.874
2012-05-25,000300.SH,20120525,2573.103,2595.261,-0.8537,41420081.778
2012-05-28,000300.SH,20120528,2614.689,2562.596,1.6162,58412343.035
2012-05-29,000300.SH,20120529,2650.854,2615.145,1.3831,78681504.585
2012-05-30,000300.SH,20120530,2642.258,2646.37,-0.3243,56976275.428
2012-05-31,000300.SH,20120531,2632.042,2623.158,-0.3866,49875041.384
2012-06-01,000300.SH,20120601,2632.998,2633.601,0.0363,53843404.285
2012-06-04,000300.SH,20120604,2559.026,2598.733,-2.8094,60615569.451
2012-06-05,000300.SH,20120605,2558.842,2565.186,-0.0072,43553303.591
2012-06-06,000300.SH,20120606,2557.401,2564.226,-0.0563,41316908.581
2012-06-07,000300.SH,20120607,2542.184,2579.425,-0.595,42053000.073
2012-06-08,000300.SH,20120608,2524.329,2558.843,-0.7023,47638005.888
2012-06-11,000300.SH,20120611,2558.265,2529.599,1.3444,43449657.466
2012-06-12,000300.SH,20120612,2540.178,2543.765,-0.707,40259911.52
2012-06-13,000300.SH,20120613,2580.636,2546.791,1.5927,51291269.477
2012-06-14,000300.SH,20120614,2560.421,2573.329,-0.7833,46331822.555
2012-06-15,000300.SH,20120615,2568.054,2565.189,0.2981,48868302.897
2012-06-18,000300.SH,20120618,2581.212,2576.629,0.5124,40852450.181
2012-06-19,000300.SH,20120619,2558.621,2577.362,-0.8752,37020041.266
2012-06-20,000300.SH,20120620,2552.611,2563.643,-0.2349,33573669.769
2012-06-21,000300.SH,20120621,2512.185,2547.048,-1.5837,38607959.039
2012-06-25,000300.SH,20120625,2456.518,2501.163,-2.2159,42503507.171
2012-06-26,000300.SH,20120626,2454.915,2442.562,-0.0653,33896511.717
2012-06-27,000300.SH,20120627,2447.195,2452.666,-0.3145,31437597.414
2012-06-28,000300.SH,20120628,2425.729,2451.664,-0.8772,34418793.21
2012-06-29,000300.SH,20120629,2461.612,2418.862,1.4793,40976538.386
2012-07-02,000300.SH,20120702,2465.238,2473.545,0.1473,45651476.527
2012-07-03,000300.SH,20120703,2468.721,2464.85,0.1413,45004653.879
2012-07-04,000300.SH,20120704,2464.919,2474.527,-0.154,37837659.888
2012-07-05,000300.SH,20120705,2430.37,2450.3,-1.4016,35946204.421
2012-07-06,000300.SH,20120706,2472.614,2435.059,1.7382,56601778.899
2012-07-09,000300.SH,20120709,2416.036,2455.892,-2.2882,54601732.513
2012-07-10,000300.SH,20120710,2406.706,2411.003,-0.3862,38539025.245
2012-07-11,000300.SH,20120711,2425.572,2402.184,0.7839,39851892.244
2012-07-12,000300.SH,20120712,2449.181,2420.036,0.9733,65137536.868
2012-07-13,000300.SH,20120713,2450.633,2441.013,0.0593,42013581.196
2012-07-16,000300.SH,20120716,2399.731,2452.595,-2.0771,45844882.072
2012-07-17,000300.SH,20120717,2414.201,2391.897,0.603,38285441.648
2012-07-18,000300.SH,20120718,2414.335,2412.062,0.0056,44325492.55
2012-07-19,000300.SH,20120719,2424.322,2407.443,0.4137,47704038.961
2012-07-20,000300.SH,20120720,2398.455,2415.71,-1.067,36683623.955
2012-07-23,000300.SH,20120723,2365.431,2379.885,-1.3769,33178928.582
2012-07-24,000300.SH,20120724,2375.992,2353.22,0.4465,31149105.846
2012-07-25,000300.SH,20120725,2360.083,2368.384,-0.6696,25730598.144
2012-07-26,000300.SH,20120726,2347.488,2360.134,-0.5337,31326395.007
2012-07-27,000300.SH,20120727,2349.108,2353.942,0.069,33048182.067
2012-07-30,000300.SH,20120730,2335.793,2350.782,-0.5668,29907972.257
2012-07-31,000300.SH,20120731,2332.922,2336.882,-0.1229,31196332.451
2012-08-01,000300.SH,20120801,2358.651,2332.129,1.1029,31277764.382
2012-08-02,000300.SH,20120802,2334.882,2354.073,-1.0077,29751166.648
2012-08-03,000300.SH,20120803,2353.737,2340.25,0.8075,31106947.335
2012-08-06,000300.SH,20120806,2385.611,2350.117,1.3542,43686686.303
2012-08-07,000300.SH,20120807,2388.873,2383.257,0.1367,40403711.505
2012-08-08,000300.SH,20120808,2389.795,2390.959,0.0386,41340862.162
2012-08-09,000300.SH,20120809,2411.7,2388.43,0.9166,43256096.919
2012-08-10,000300.SH,20120810,2399.751,2409.937,-0.4955,40699222.527
2012-08-13,000300.SH,20120813,2351.931,2394.504,-1.9927,46249676.189
2012-08-14,000300.SH,20120814,2357.016,2352.659,0.2162,42404687.531
2012-08-15,000300.SH,20120815,2331.615,2350.022,-1.0777,30332554.84
2012-08-16,000300.SH,20120816,2319.67,2327.91,-0.5123,27076003.542
2012-08-17,000300.SH,20120817,2313.476,2318.432,-0.267,28629966.797
2012-08-20,000300.SH,20120820,2301.788,2294.901,-0.5052,27174816.852
2012-08-21,000300.SH,20120821,2313.703,2301.932,0.5176,34757869.338
2012-08-22,000300.SH,20120822,2295.586,2315.14,-0.783,31547519.179
2012-08-23,000300.SH,20120823,2302.199,2298.18,0.2881,33789603.948
2012-08-24,000300.SH,20120824,2275.677,2295.684,-1.152,32986336.544
2012-08-27,000300.SH,20120827,2228.204,2268.485,-2.0861,35384156.112
2012-08-28,000300.SH,20120828,2238.411,2226.898,0.4581,30331076.332
2012-08-29,000300.SH,20120829,2214.814,2230.199,-1.0542,27396186.648
2012-08-30,000300.SH,20120830,2211.37,2204.515,-0.1555,33867206.099
2012-08-31,000300.SH,20120831,2204.868,2205.573,-0.294,23340891.008
2012-09-03,000300.SH,20120903,2228.369,2201.123,1.0659,35299176.728
2012-09-04,000300.SH,20120904,2204.407,2231.716,-1.0753,33220203.922
2012-09-05,000300.SH,20120905,2199.875,2199.743,-0.2056,30445168.179
2012-09-06,000300.SH,20120906,2217.823,2204.436,0.8159,26873315.868
2012-09-07,000300.SH,20120907,2317.179,2233.912,4.4799,84302249.171
2012-09-10,000300.SH,20120910,2326.666,2320.557,0.4094,63252038.538
2012-09-11,000300.SH,20120911,2311.89,2316.532,-0.6351,43389766.043
2012-09-12,000300.SH,20120912,2320.071,2325.925,0.3539,46485174.475
2012-09-13,000300.SH,20120913,2298.461,2316.679,-0.9314,38023998.305
2012-09-14,000300.SH,20120914,2315.542,2324.012,0.7431,55438612.876
2012-09-17,000300.SH,20120917,2258.705,2312.055,-2.4546,43753169.666
2012-09-18,000300.SH,20120918,2235.239,2249.425,-1.0389,30171497.189
