trade_date,ts_code,trade_date,close
2010-07-27,000300.SH,20100727,2795.724
2010-07-28,000300.SH,20100728,2863.724
2010-07-29,000300.SH,20100729,2877.976
2010-07-30,000300.SH,20100730,2868.846
2010-08-02,000300.SH,20100802,2917.275
2010-08-03,000300.SH,20100803,2865.971
2010-08-04,000300.SH,20100804,2876.434
2010-08-05,000300.SH,20100805,2850.829
2010-08-06,000300.SH,20100806,2897.659
2010-08-09,000300.SH,20100809,2918.241
2010-08-10,000300.SH,20100810,2832.638
2010-08-11,000300.SH,20100811,2850.211
2010-08-12,000300.SH,20100812,2816.386
2010-08-13,000300.SH,20100813,2855.547
2010-08-16,000300.SH,20100816,2922.083
2010-08-17,000300.SH,20100817,2942.291
2010-08-18,000300.SH,20100818,2937.362
2010-08-19,000300.SH,20100819,2955.395
2010-08-20,000300.SH,20100820,2898.333
2010-08-23,000300.SH,20100823,2896.192
2010-08-24,000300.SH,20100824,2911.827
2010-08-25,000300.SH,20100825,2843.023
2010-08-26,000300.SH,20100826,2850.093
2010-08-27,000300.SH,20100827,2858.566
2010-08-30,000300.SH,20100830,2915.01
2010-08-31,000300.SH,20100831,2903.188
2010-09-01,000300.SH,20100901,2884.042
2010-09-02,000300.SH,20100902,2921.393
2010-09-03,000300.SH,20100903,2920.205
2010-09-06,000300.SH,20100906,2975.09
2010-09-07,000300.SH,20100907,2983.108
2010-09-08,000300.SH,20100908,2980.967
2010-09-09,000300.SH,20100909,2926.46
2010-09-10,000300.SH,20100910,2932.554
2010-09-13,000300.SH,20100913,2962.319
2010-09-14,000300.SH,20100914,2965.009
2010-09-15,000300.SH,20100915,2913.194
2010-09-16,000300.SH,20100916,2857.789
2010-09-17,000300.SH,20100917,2861.369
2010-09-20,000300.SH,20100920,2849.828
2010-09-21,000300.SH,20100921,2857.476
2010-09-27,000300.SH,20100927,2905.029
2010-09-28,000300.SH,20100928,2880.907
2010-09-29,000300.SH,20100929,2874.812
2010-09-30,000300.SH,20100930,2935.574
2010-10-08,000300.SH,20101008,3044.233
2010-10-11,000300.SH,20101011,3132.895
2010-10-12,000300.SH,20101012,3172.726
2010-10-13,000300.SH,20101013,3217.577
2010-10-14,000300.SH,20101014,3224.14
2010-10-15,000300.SH,20101015,3327.683
2010-10-18,000300.SH,20101018,3306.16
2010-10-19,000300.SH,20101019,3375.674
2010-10-20,000300.SH,20101020,3396.879
2010-10-21,000300.SH,20101021,3374.685
2010-10-22,000300.SH,20101022,3378.655
2010-10-25,000300.SH,20101025,3481.081
2010-10-26,000300.SH,20101026,3466.084
2010-10-27,000300.SH,20101027,3403.872
2010-10-28,000300.SH,20101028,3397.692
2010-10-29,000300.SH,20101029,3379.983
2010-11-01,000300.SH,20101101,3472.995
2010-11-02,000300.SH,20101102,3463.131
2010-11-03,000300.SH,20101103,3420.341
2010-11-04,000300.SH,20101104,3480.505
2010-11-05,000300.SH,20101105,3520.798
2010-11-08,000300.SH,20101108,3548.566
2010-11-09,000300.SH,20101109,3523.954
2010-11-10,000300.SH,20101110,3499.111
2010-11-11,000300.SH,20101111,3509.975
2010-11-12,000300.SH,20101112,3291.833
2010-11-15,000300.SH,20101115,3314.893
2010-11-16,000300.SH,20101116,3169.538
2010-11-17,000300.SH,20101117,3103.906
2010-11-18,000300.SH,20101118,3147.962
2010-11-19,000300.SH,20101119,3178.846
